vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
10.81916714,-0.00727719,-0.00523095,-0.0016515954069424089,0.19443342,0.0
10.8168087,-0.00714592,-0.00523852,-0.0016755316600599464,0.20633565,0.0
10.81630707,-0.00709783,-0.00524872,-0.001795212492921371,0.21031831,0.0
10.81629753,-0.00699735,-0.00523177,-0.0020824464485161643,0.22222053,0.0
10.81685734,-0.00694019,-0.00522079,-0.0023218081142390135,0.22222053,0.0
10.81808758,-0.00752158,-0.00562964,-0.0025851058167162696,0.22618793,0.0
10.82234383,-0.00879311,-0.00676064,-0.0028723399886741935,0.23015533,0.0
10.82522774,-0.00965373,-0.00749596,-0.0028962760254286003,0.23412274,0.0
10.82857227,-0.01033375,-0.00807655,-0.002920212062183007,0.23809016,0.0
10.83230877,-0.01100151,-0.00855672,-0.002920212062183007,0.24205756,0.0
10.84094048,-0.01175009,-0.00901548,-0.002920212062183007,0.25395977,0.0
10.8458643,-0.01194181,-0.00906578,-0.0029441485316636746,0.25792718,0.0
10.85126209,-0.0120482,-0.00907056,-0.0029441485316636746,0.26586199,0.0
10.85715199,-0.01211524,-0.00906888,-0.0029441485316636746,0.26982939,0.0
10.87053204,-0.01212687,-0.00906353,-0.0029441485316636746,0.2777642,0.0
10.87798882,-0.01209729,-0.00906013,-0.0029441485316636746,0.2777642,0.0
10.88593388,-0.01213183,-0.00910271,-0.0029441485316636746,0.28173161,0.0
10.90312386,-0.01208594,-0.0091172,-0.0029441485316636746,0.28966644,0.0
10.92176533,-0.01206114,-0.0091469,-0.0029441485316636746,0.30158392,0.0
10.93163204,-0.0120547,-0.00914977,-0.0029441485316636746,0.31348613,0.0
10.95262909,-0.01205055,-0.00912533,-0.0029441485316636746,0.33332315,0.0
10.97603893,-0.01205538,-0.0091568,-0.0029441485316636746,0.3491928,0.0
10.98886013,-0.01205955,-0.00915713,-0.0029441485316636746,0.36506242,0.0
